00302,01A,611124520,0859,7814R,012630,0099,19-Dec-06,1938
00302,02A,611124520,996,7814R,012479,0352,19-Dec-06,1547
00302,02B,611124520,0316,7114H,010959,0352,19-Dec-06,1036
00302,02B,611124520,0316,7404V,008114,0352,19-Dec-06,1036
00302,02B,611124520,0316,7904P,003741,0352,19-Dec-06,1036
00302,02B,611124520,0316,7904P,003764,0352,19-Dec-06,1037
00302,02B,611124520,0323,7808L,812147,0352,19-Dec-06,1037
00302,02B,611124520,0323,7904P,003745,0352,19-Dec-06,1036
00302,02B,611124520,0330,7404V,008115,0352,19-Dec-06,1036
00302,02B,611124520,0330,7904P,003742,0352,19-Dec-06,1037
00302,02B,611124520,0330,7904P,003751,0352,19-Dec-06,1037
00302,02B,611124520,0330,7904P,003754,0352,19-Dec-06,1036
00302,02B,611124520,0330,7904P,003760,0352,19-Dec-06,1037
00302,02B,611124520,0347,7904P,003747,0352,19-Dec-06,1036
00302,02A,611124520,0354,7704W,006337,0352,18-Dec-06,2046
00302,03B,611124520,0958,7808L,812755,0352,19-Dec-06,1540
00302,01B,611124520,0965,7406A,024623,0352,19-Dec-06,1349
00302,03B,611124520,0989,7406A,024620,0352,19-Dec-06,1539
00302,03B,611124520,0989,7406A,024636,0352,19-Dec-06,1539
00302,03B,611124520,958,7814R,012587,0352,19-Dec-06,1539
00302,03B,611124520,965,7814R,012571,0352,19-Dec-06,1538
00302,03B,611124520,989,7814R,012142,0352,19-Dec-06,1540
00302,03B,611124520,989,7814R,012488,0352,19-Dec-06,1539
00302,03B,611124520,989,7814R,012542,0352,19-Dec-06,1539
00302,03B,611124520,989,7814R,012555,0352,19-Dec-06,1538
00302,03B,611124520,989,7814R,012590,0352,19-Dec-06,1540
00302,03C,611124520,958,7814R,012101,0352,18-Dec-06,1704
00302,03C,611124520,958,7814R,012251,0352,18-Dec-06,1053
00302,03C,611124520,965,7814R,012105,0352,18-Dec-06,1812
00302,03D,611124520,0958,7404V,008019,0352,18-Dec-06,1904
00302,03D,611124520,0958,7404V,008037,0352,18-Dec-06,1905
00302,03D,611124520,0965,7114H,007274,0352,18-Dec-06,1831
00302,02D,611124520,0965,7114H,007290,0352,18-Dec-06,1003
00302,03D,611124520,0965,7404V,008036,0352,18-Dec-06,1904
00302,02D,611124520,0972,7114H,007872,0352,18-Dec-06,1003
00302,03D,611124520,0989,7404V,008027,0352,18-Dec-06,1904
00302,03D,611124520,0989,7404V,008031,0352,18-Dec-06,1904
00302,03D,611124520,0996,7114H,007252,0352,18-Dec-06,1831
00302,03D,611124520,0996,7404V,007990,0352,18-Dec-06,1905
00302,03D,611124520,0996,7404V,008001,0352,18-Dec-06,1905
00302,03D,611124520,0996,7404V,008034,0352,18-Dec-06,1905
00302,03D,611124520,972,7814R,012439,0352,18-Dec-06,2101
00302,03D,611124520,989,7814R,012379,0352,18-Dec-06,2104
00302,04A,611124520,0323,7406A,024310,0352,18-Dec-06,1405
00302,04A,611124520,0323,7802F,002850,0352,19-Dec-06,2105
00302,04A,611124520,0323,7802F,002903,0352,19-Dec-06,2105
00302,04A,611124520,0330,7406A,024320,0352,18-Dec-06,1405
