Case#,Submitted,From,Priority (H/M/L),Deadline,Target Completion,Status,Status As Of,Assigned To,Problem/Issue
908,01/05/2004,PSHERMAN,M,01/05/2004,,Assigned to,01/05/2004,Matthew,change default printer for Andre to Minette's printer
909,01/05/2004,PSHERMAN,M,01/05/2004,,Assigned to,01/05/2004,Matthew,Supervisors printer problem with feeding legal paper one at a time
910,01/05/2004,PSHERMAN,H,01/05/2004,,Assigned to,01/05/2004,Matthew,M. Phillips- Scanner 208 - barcode reader not working on scanner
911,01/05/2004,PSHERMAN,H,01/05/2004,,Assigned to,01/05/2004,Matthew,M. Phillips - Scanner 51 recieving no host error
912,01/06/2004,PHEMPHILL,M,01/08/2004,,Assigned to,01/06/2004,Matthew,Need a new mouse. This is a reoccuring problem. Matt adjusted a few times but it appears I need a new one.
913,01/06/2004,MHAHN,H,asap,,TS Done-Awaiting OK,01/06/2004,Seth,cust # 90381 was added to CCDS system but customer # has already been used in BNI. Please change customer # to 90383 before this is added to BNI & Oracle
914,01/06/2004,RBETTS,H,01/07/2004,,Assigned to,01/06/2004,Matthew,I NEED A SCANNER FOR FRUIT. I NEED TO BE ABLE TO IDENTIFY DIFFERENT COMPANIES
915,01/06/2004,PSHERMAN,H,01/06/2004,,Assigned to,01/06/2004,Matthew,Operations withdrawl printer stuck on pause - cannot print
916,01/06/2004,GBAILEY,H,ASAP,,Assigned to,01/06/2004,Matthew,Create a generic email address for HR Director
917,01/06/2004,GBAILEY,H,ASAP,,Assigned to,01/06/2004,Seth,Document Management system for Board Reports
918,01/06/2004,GBAILEY,H,ASAP,,Assigned to,01/06/2004,Matthew,Set up email to use word as the default editor and spell check work like with word
919,01/06/2004,GBAILEY,H,ASAP,,Assigned to,01/06/2004,Richard,Box level utilization - see Ann Rizzo email
920,01/06/2004,PSHERMAN,M,01/06/2004,,Assigned to,01/06/2004,Matthew,"D. Thompson - error on 2nd floor copier, will not copy"
921,01/06/2004,PSHERMAN,M,01/06/2004,,Assigned to,01/06/2004,Matthew,R. Wang - cell phone antenna broken - needs replaced
922,01/06/2004,PSHERMAN,H,01/06/2004,,Assigned to,01/06/2004,Matthew,Accounting - Invoice printer needs new ribbon
923,01/06/2004,WSTANSBURY,H,01/06/2004,,Assigned to,01/06/2004,Matthew,Fix apparent missing of data from LCS Palm Pilots
924,01/06/2004,WSTANSBURY,H,01/06/2004,,Working on now,01/07/2004,Matthew,Meal Hour not computing right with LCS Palm Pilots
925,01/06/2004,WSTANSBURY,H,01/06/2004,,Working on now,01/07/2004,Matthew,Time sheet shows 8 hrs and 9.5 for same day for same employee. 
926,01/06/2004,WSTANSBURY,H,01/09/2004,,Assigned to,01/06/2004,Matthew,Employee 7443 for Paul Kelley has two Mondays on one week's timecard
927,01/06/2004,WSTANSBURY,H,01/07/2004,,Assigned to,01/06/2004,Richard,Add one line for cargo with no location in the Daily Utilization report. Check with Inigo.
928,01/06/2004,WSTANSBURY,H,01/12/2004,,Assigned to,01/06/2004,Matthew,Tally Printer for Wing F
929,01/06/2004,WSTANSBURY,H,ASAP,,Assigned to,01/06/2004,Matthew,Use designated scanners for each supervisor for better audit
930,01/06/2004,MHAHN,H,asap,,Assigned to,01/06/2004,Seth,tonnage report did not update with container vessels billed today
931,01/06/2004,SSHOEMAKER,H,asap,,Assigned to,01/06/2004,Matthew,Move extra ADP computer from HR directors office to Tazzy's office with A/B switch
932,01/06/2004,SSHOEMAKER,H,ASAP,,Assigned to,01/06/2004,Matthew,"Make ADP available to Andy, Tiffany, Sue and Tazzy at their own workstations"
933,01/06/2004,SSHOEMAKER,H,ASAP,,Assigned to,01/06/2004,Matthew,Can' t print ADP reports from HR director computer - we get .dll errors
935,01/07/2004,LHORNE,H,ASAP,,TS Done-Awaiting OK,01/07/2004,Seth,BNI Storage - Need to change the Free Time End date for Vessel 8323 from 1/2/04 to 1/3/04 and rerun the storage program.
936,01/07/2004,PSHERMAN,L,01/07/2004,,Assigned to,01/07/2004,Matthew,Increase volume on Security Scanners 
937,01/07/2004,PSHERMAN,H,01/07/2004,,Assigned to,01/07/2004,Matthew,Replace current Cell phone in guard gate with phone number that is on the DSPC Directory
938,01/07/2004,PSHERMAN,M,01/16/2004,,Assigned to,01/07/2004,Matthew,"CCDS phones need recording for ""Directions to the Port of Wilmington"""
939,01/07/2004,PSHERMAN,L,01/16/2004,,Assigned to,01/07/2004,Matthew,Automated Phone Directions need updated - north/south directions should be reversed
940,01/07/2004,TKEEFER,M,asap,,Assigned to,01/07/2004,Matthew,Color printer in Marketing is not working
941,01/07/2004,DDONOFRIO,H,01/12/2004,,Assigned to,01/07/2004,Matthew,"Harddrive on original pc crashed, need all information installed onto new pc"
942,01/07/2004,MARTYM,H,ASAP,,Assigned to,01/07/2004,Seth,Would like to have an abreviated report by Chilean Fruit Customer Sub-totals and Grand total of plts in house. (No piece of plts)
943,01/07/2004,RHORNE,H,,,Assigned to,01/07/2004,Matthew,Need to complete daily equipment/box status report
944,01/08/2004,KSKINNER,M,SOON,,Assigned to,01/08/2004,Matthew,I need Microsoft Project on my computer.
945,01/08/2004,LTREUT,H,ASAP,,TS Done-Awaiting OK,01/08/2004,Seth,Could not save in Withdraw.
946,01/08/2004,PKELLEY,H,ASAP,,Assigned to,01/08/2004,Matthew,Petfood scanner 213 not taking order number.
947,01/08/2004,MARTYM,H,ASAP,,Assigned to,01/08/2004,Matthew,Computer crashes before it finishes booting.
948,01/08/2004,RSMITH,H,ASAP,,Assigned to,01/08/2004,Matthew,Palm freezing up.
949,01/08/2004,DDONOFRIO,H,01/09/2004,,Assigned to,01/08/2004,Matthew,A scanner has been missing from my closet . I should have 8 scanners.
950,01/08/2004,DTHOMP,H,01/08/2004,,Assigned to,01/08/2004,Matthew,Scanner not working.
951,01/08/2004,MARTYM,M,ASAP,,Assigned to,01/08/2004,Seth,"CCDS's copier in the brick building will not feed multiple sheets, only copies one at a time manually."
952,01/08/2004,MARTYM,H,01/09/2004,,Assigned to,01/08/2004,Matthew,Please recover my files and update the shortcuts in my desktop
953,01/08/2004,MARTYM,M,01/12/2004,,Assigned to,01/08/2004,Matthew,Instlall Auto Save feature in my Excel
954,01/08/2004,RBETTS,H,01/08/2004,,TS Done-Awaiting OK,01/09/2004,Richard,Palm won't synch Scanned Employees
955,01/09/2004,MBILLIN,L,L,,Assigned to,01/09/2004,Matthew,FAX CCDS # 3400 NEEDS TONER..THANKS M
956,01/09/2004,ITHOMAS,M,,,Assigned to,01/09/2004,Matthew,Monitor Palm hot sync failure problem
957,01/09/2004,ITHOMAS,M,,,Assigned to,01/09/2004,Matthew,Looking for new solution for palm lcs
958,01/10/2004,RBETTS,H,01/10/2004,,Assigned to,01/10/2004,Seth,Palm frozed up.
959,01/10/2004,RBETTS,H,01/10/2004,,Assigned to,01/10/2004,Matthew,I can't log in to my computer
960,01/10/2004,MPHILLIPS,H,01/10/2004,,Assigned to,01/10/2004,Seth,Palm won't synch employees
961,01/10/2004,DDONOFRIO,H,01/10/2004,,Assigned to,01/10/2004,Matthew,Scanner 233 is having problems (bad pallet scanned)
962,01/10/2004,DDONOFRIO,H,01/10/2004,,Assigned to,01/10/2004,Matthew,Scanner 214 times out. (5 sec)
963,01/10/2004,DDONOFRIO,H,01/10/2004,,Assigned to,01/10/2004,Matthew,Scanner 233 No host response (Bad pallet scanned)
964,01/10/2004,DDONOFRIO,H,01/10/2004,,Assigned to,01/10/2004,Matthew,Scanner 226 No host Response (Bad pallet Scanned)
965,01/10/2004,DDONOFRIO,M,01/13/2004,,Assigned to,01/10/2004,Matthew,One of the batery chargers is not working
966,01/10/2004,DDONOFRIO,L,01/16/2004,,Assigned to,01/10/2004,Matthew,Light Bulb in Warehouse C is burnt. Please replace
967,01/10/2004,RCORBIN,H,01/11/2004,,Assigned to,01/10/2004,Seth,Time from Monday 5 doesn't show in Time Card
968,01/10/2004,MMARTY,M,01/10/2004,,Assigned to,01/10/2004,Matthew,Scanner has No host Response
