4973,Forest Prdts Charter-Newsprint,Forest Products
4974,Forest Prdts Charter-Paper,Forest Products
4999,Forest Prdts Charter-Other,Forest Products
4361,Holmen Packaged Lumber,Holmen
4374,Holmen Paper,Holmen
4384,Billerud Sack Paper (Holmen),Holmen
4399,Holmen Other,Holmen
5635,Premier Orange Juice,Juice
5696,Chilled Juice Non-Vessel,Juice
5697,Frozen Juice Non-Vessel,Juice
5699,Misc Refrigerated,Juice
5700,Kyokuyo,KY
5731,KY-Kiwi Juice,KY
5733,KY-Apple Juice,KY
5741,KY-Beef/Meat,KY
5745,KY-Fish/Seafood,KY
5749,KY-Dairy,KY
5751,KY-Pet Food,KY
5799,KY-Others,KY
5541,McDonalds' Meat,Meat
5645,Seafood Exports,Meat
5651,Poultry,Meat
9210,General Charter-Cattle,Meat
9205,General Charter-Zinc,Metals
9207,General Charter-Aluminium,Metals
9209,General Charter-Lead,Metals
9229,General Charter-Copper,Metals
0,None,None
12,Door Sill ranges,None
100,Pallet Sales,None
911,Emergency Code,None
1000,Container Total,None
1301,Haitan Containers,None
4601,Furniture,None
4981,Empty Paper Container Return,None
6111,Temp,None
9100,Passenger Vessels,None
9289,Hazardous Materials,None
9299,General Charter-Others,None
0XXX,Capital Codes for E&M Only,None
OPEN,Open,None
5611,NYK New Zealand Apples,NZ Fruit
5409,David Oppen-New Zealand Kiwi Fruit,Oppenheimer
5411,David Oppen-New Zealand Apples & Pears,Oppenheimer
5498,David Oppen-Non Vessel,Oppenheimer
5499,David Oppen-Others,Oppenheimer
8101,Delaware Terminal-Petroleum Products,Petroleum
8201,Sico Oil-Petroleum Products,Petroleum
3000,ALL STEEL,Steel
3100,Nucor,Steel
3102,Nucor-Hot Rolled Coils,Steel
3104,Nucor-Cold Rolled Coils,Steel
3199,Nucor-Others,Steel
3202,Van Ommeren-Hot Rolled Coils,Steel
3204,Van Ommeren-Cold Rolled Coils,Steel
3212,Van Ommeren-Wire Coils,Steel
3222,Van Ommeren-Steel Beams,Steel
3223,Van Ommeren-Steel Slabs,Steel
3224,Van Ommeren-Steel Pipe,Steel
3226,Van Ommeren-Steel Plate,Steel
3228,Van Ommeren-Re-bar,Steel
3299,Van Ommeren-Others,Steel
3302,Steel Charters-Hot Rolled Coils,Steel
3304,Steel Charters-Cold Rolled Coils,Steel
3312,Steel Charters-Wire Coils,Steel
3322,Steel Charters-Steel Beams,Steel
3323,Steel Charters-Steel Slabs,Steel
3324,Steel Charters-Steel Pipe,Steel
3326,Steel Charters-Steel Plate,Steel
3328,Steel Charters-Steel Re-bar,Steel
3399,Steel Charters-Others,Steel
